current_date,cases,deaths,country,population,first_date,high_risk_2w
2020-11-07,12,0,AU,25203200.0,31/12/2019,False
2020-11-06,11,0,AU,25203200.0,31/12/2019,False
2020-11-05,12,0,AU,25203200.0,31/12/2019,False
2020-11-04,8,0,AU,25203200.0,31/12/2019,False
2020-11-03,7,0,AU,25203200.0,31/12/2019,False
2020-11-02,5,0,AU,25203200.0,31/12/2019,False
2020-11-01,8,0,AU,25203200.0,31/12/2019,False
2020-10-31,13,0,AU,25203200.0,31/12/2019,False
2020-10-30,15,0,AU,25203200.0,31/12/2019,False
2020-10-29,13,2,AU,25203200.0,31/12/2019,False
2020-10-28,14,0,AU,25203200.0,31/12/2019,False
2020-10-27,7,0,AU,25203200.0,31/12/2019,False
2020-10-26,21,0,AU,25203200.0,31/12/2019,False
2020-10-25,15,0,AU,25203200.0,31/12/2019,False
2020-10-24,18,0,AU,25203200.0,31/12/2019,False
2020-10-23,22,0,AU,25203200.0,31/12/2019,False
2020-10-22,14,0,AU,25203200.0,31/12/2019,False
2020-10-21,31,0,AU,25203200.0,31/12/2019,False
2020-10-20,9,1,AU,25203200.0,31/12/2019,False
2020-10-19,7,0,AU,25203200.0,31/12/2019,False
2020-10-18,12,0,AU,25203200.0,31/12/2019,False
2020-10-17,9,0,AU,25203200.0,31/12/2019,False
2020-10-16,21,0,AU,25203200.0,31/12/2019,False
2020-10-15,24,5,AU,25203200.0,31/12/2019,False
2020-10-14,31,1,AU,25203200.0,31/12/2019,False
2020-10-13,22,0,AU,25203200.0,31/12/2019,False
2020-10-12,20,1,AU,25203200.0,31/12/2019,False
2020-10-11,15,0,AU,25203200.0,31/12/2019,False
2020-10-10,23,0,AU,25203200.0,31/12/2019,False
2020-10-09,24,0,AU,25203200.0,31/12/2019,False
2020-10-08,8,2,AU,25203200.0,31/12/2019,False
2020-10-07,25,1,AU,25203200.0,31/12/2019,False
2020-10-06,13,0,AU,25203200.0,31/12/2019,False
2020-10-05,15,1,AU,25203200.0,31/12/2019,False
2020-10-04,8,3,AU,25203200.0,31/12/2019,False
2020-10-03,17,2,AU,25203200.0,31/12/2019,False
2020-10-02,33,6,AU,25203200.0,31/12/2019,False
2020-10-01,0,0,AU,25203200.0,31/12/2019,False
2020-09-30,19,7,AU,25203200.0,31/12/2019,False
2020-09-29,4,3,AU,25203200.0,31/12/2019,False
2020-09-28,24,2,AU,25203200.0,31/12/2019,False
2020-09-27,16,1,AU,25203200.0,31/12/2019,False
2020-09-26,17,8,AU,25203200.0,31/12/2019,False
2020-09-25,10,2,AU,25203200.0,31/12/2019,False
2020-09-24,31,5,AU,25203200.0,31/12/2019,False
2020-09-23,30,3,AU,25203200.0,31/12/2019,False
2020-09-22,14,2,AU,25203200.0,31/12/2019,False
2020-09-21,13,5,AU,25203200.0,31/12/2019,False
2020-09-20,24,7,AU,25203200.0,31/12/2019,False
2020-09-19,48,5,AU,25203200.0,31/12/2019,False
2020-09-18,34,8,AU,25203200.0,31/12/2019,False
2020-09-17,41,8,AU,25203200.0,31/12/2019,False
2020-09-16,46,0,AU,25203200.0,31/12/2019,False
2020-09-15,41,6,AU,25203200.0,31/12/2019,False
2020-09-14,44,7,AU,25203200.0,31/12/2019,False
2020-09-13,42,6,AU,25203200.0,31/12/2019,False
2020-09-12,52,9,AU,25203200.0,31/12/2019,False
2020-09-11,48,7,AU,25203200.0,31/12/2019,False
2020-09-10,91,11,AU,25203200.0,31/12/2019,False
2020-09-09,52,8,AU,25203200.0,31/12/2019,False
2020-09-08,43,9,AU,25203200.0,31/12/2019,False
2020-09-07,72,5,AU,25203200.0,31/12/2019,False
2020-09-06,71,11,AU,25203200.0,31/12/2019,False
2020-09-05,87,59,AU,25203200.0,31/12/2019,False
2020-09-04,126,15,AU,25203200.0,31/12/2019,False
2020-09-03,104,6,AU,25203200.0,31/12/2019,False
2020-09-02,73,5,AU,25203200.0,31/12/2019,False
2020-09-01,76,41,AU,25203200.0,31/12/2019,False
2020-08-31,123,11,AU,25203200.0,31/12/2019,False
2020-08-30,99,17,AU,25203200.0,31/12/2019,False
2020-08-29,126,11,AU,25203200.0,31/12/2019,False
2020-08-28,117,23,AU,25203200.0,31/12/2019,False
2020-08-27,152,24,AU,25203200.0,31/12/2019,False
2020-08-26,137,8,AU,25203200.0,31/12/2019,False
2020-08-25,104,15,AU,25203200.0,31/12/2019,False
2020-08-24,210,17,AU,25203200.0,31/12/2019,False
2020-08-23,195,13,AU,25203200.0,31/12/2019,False
2020-08-22,171,9,AU,25203200.0,31/12/2019,False
2020-08-21,243,13,AU,25203200.0,31/12/2019,False
2020-08-20,220,12,AU,25203200.0,31/12/2019,False
2020-08-19,174,17,AU,25203200.0,31/12/2019,False
2020-08-18,311,25,AU,25203200.0,31/12/2019,False
2020-08-17,253,17,AU,25203200.0,31/12/2019,False
2020-08-16,292,4,AU,25203200.0,31/12/2019,False
2020-08-15,385,14,AU,25203200.0,31/12/2019,False
2020-08-14,231,9,AU,25203200.0,31/12/2019,False
2020-08-13,414,21,AU,25203200.0,31/12/2019,False
2020-08-12,316,18,AU,25203200.0,31/12/2019,False
