cases,deaths,population,cases_min,cases_max,cases_median,cases_std,cases_mean,deaths_min,deaths_max,deaths_median,deaths_std,deaths_mean,population_min,population_max,population_median,population_std,population_mean,current_date_day,current_date_month,first_date_day,first_date_month,ratio,cases_per_100k,nr_months,avg_total,sum_total,sum_100k,avg_100k,high_risk_2w,current_date_year,first_date_year,current_risk,country_AU,country_FJ,country_GU,country_MH,country_MP,country_NC,country_NZ,country_PF,country_PG,country_SB,country_VU,current_date_season_Autumn,current_date_season_Spring,current_date_season_Summer,current_date_season_Winter,first_date_season_Autumn,first_date_season_Spring,first_date_season_Winter,current_date,first_date
-0.2732622846644718,-0.19799587524840537,-0.6130827875063387,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.862645149230957e-09,0.0,-0.24064991505346003,1.0390532984371998,-0.9415552884618789,-0.7005024447595052,,-0.18675750828737084,0.819849411653925,6.938893903907228e-18,0.7423514007650821,0.7423514007650821,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-10-14,2020-03-19
-0.2732622846644718,-0.19799587524840537,-0.6260542446958205,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.862645149230957e-09,0.0,-0.4665783008029288,1.0390532984371998,-0.9415552884618789,-0.7005024447595052,,-0.18675750828737084,0.819849411653925,6.938893903907228e-18,0.0016279643816435538,0.00162796438164346,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-12,2020-03-19
0.1632295651692981,-0.19799587524840537,-0.6130827875063387,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.862645149230957e-09,0.0,-1.2573276509260694,0.6776917133405451,-0.9415552884618789,-0.7005024447595052,-0.26247075192914665,0.39152079215654645,0.4689692596991277,6.938893903907228e-18,0.7423514007650821,0.7423514007650821,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2020-09-05,2020-03-19
1.3757069258186587,-0.19799587524840537,-0.6260542446958205,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.862645149230957e-09,0.0,1.2278845923180868,0.3163301282438904,-0.9415552884618789,-0.7005024447595052,-0.26247075192914665,3.4602608822086593,0.11808910774433051,6.938893903907228e-18,0.0016279643816435538,0.00162796438164346,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2020-08-27,2020-03-19
5.389006989568043,-0.19799587524840537,-0.6130827875063387,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.862645149230957e-09,0.0,-1.0313992651766006,1.4004148835338548,-0.9415552884618789,-0.7005024447595052,-0.26247075192914665,7.31479711136011,1.1707295636087223,6.938893903907228e-18,0.7423514007650821,0.7423514007650821,0.0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-11-07,2020-03-19
0.599721415003068,-0.19799587524840537,-0.6260542446958205,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.43713524219494626,0.6776917133405451,-0.9415552884618789,-0.7005024447595052,-0.26247075192914665,1.7440169337399392,0.4689692596991277,6.938893903907228e-18,0.0016279643816435538,0.00162796438164346,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2020-09-20,2020-03-19
1.6182023979485312,1.8021486269285265,-0.6260542446958205,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.862645149230957e-09,0.0,-0.014721529303991272,1.4004148835338548,-0.9415552884618789,-0.7005024447595052,0.015848418345593456,3.996587116105134,1.1707295636087223,6.938893903907228e-18,0.0016279643816435538,0.00162796438164346,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-16,2020-03-19
-0.2732622846644718,-0.19799587524840537,-0.6130827875063387,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.862645149230957e-09,0.0,1.001956206568618,1.0390532984371998,-0.9415552884618789,-0.7005024447595052,,-0.18675750828737084,0.819849411653925,6.938893903907228e-18,0.7423514007650821,0.7423514007650821,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-10-25,2020-03-19
-0.2732622846644718,-0.19799587524840537,-0.6130827875063387,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.862645149230957e-09,0.0,0.5500994350696806,0.3163301282438904,-0.9415552884618789,-0.7005024447595052,,-0.18675750828737084,0.11808910774433051,6.938893903907228e-18,0.7423514007650821,0.7423514007650821,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2020-08-21,2020-03-19
0.7452186982809913,-0.19799587524840537,-0.6130827875063387,0.0,0.0,0.0,-1.4210854715202004e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,1.862645149230957e-09,0.0,-0.6925066865523976,0.6776917133405451,-0.9415552884618789,-0.7005024447595052,-0.26247075192914665,1.1625585260817692,0.4689692596991277,6.938893903907228e-18,0.7423514007650821,0.7423514007650821,0.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2020-09-10,2020-03-19
