current_date,temperature,uncertainty,city,country,lat,lon,day,month,year,season,country_lat,country_lon,avg_temperature,max_temperature,min_temperature,std_temperature,avg_uncertainty,last_year_temp,one_year_diff,average_diff,average_diff_pos
2001-09-01,24.797,0.348,Abidjan,Côte D'Ivoire,5.63,-3.23,1,9,2001,3,5.630000000000001,-3.23,26.8695,28.796,24.58,1.439623532965014,0.40199999999999997,,,-2.072499999999998,False
2001-10-01,26.278,0.747,Abidjan,Côte D'Ivoire,5.63,-3.23,1,10,2001,4,5.630000000000001,-3.23,26.908083333333334,28.796,24.58,1.3888712718327152,0.39475,,,-0.6300833333333351,False
2001-11-01,27.374,0.465,Abidjan,Côte D'Ivoire,5.63,-3.23,1,11,2001,4,5.630000000000001,-3.23,26.891250000000003,28.796,24.58,1.3976026572313036,0.3561666666666667,,,0.4827499999999958,True
2001-12-01,27.598000000000003,0.7559999999999999,Abidjan,Côte D'Ivoire,5.63,-3.23,1,12,2001,4,5.630000000000001,-3.23,26.883583333333334,28.796,24.58,1.3951837070396467,0.34758333333333336,,,0.7144166666666685,True
2002-01-01,27.192,0.308,Abidjan,Côte D'Ivoire,5.63,-3.23,1,1,2002,1,5.630000000000001,-3.23,26.840999999999998,28.796,24.58,1.3804491418858336,0.3274166666666667,,,0.35100000000000264,True
2002-02-01,28.796,0.361,Abidjan,Côte D'Ivoire,5.63,-3.23,1,2,2002,1,5.630000000000001,-3.23,26.874166666666664,28.796,24.58,1.3932060647617386,0.34149999999999997,,,1.9218333333333355,True
2002-03-01,28.564,0.39,Abidjan,Côte D'Ivoire,5.63,-3.23,1,3,2002,1,5.630000000000001,-3.23,26.87975,28.863000000000003,24.58,1.401009108047958,0.34299999999999997,,,1.6842499999999987,True
2002-04-01,28.508000000000003,0.6759999999999999,Abidjan,Côte D'Ivoire,5.63,-3.23,1,4,2002,2,5.630000000000001,-3.23,26.914416666666668,28.98,24.58,1.4466584749192042,0.34241666666666665,,,1.593583333333335,True
2002-05-01,27.721,0.124,Abidjan,Côte D'Ivoire,5.63,-3.23,1,5,2002,2,5.630000000000001,-3.23,26.886166666666668,28.98,24.58,1.418295446027457,0.3095833333333333,,,0.8348333333333322,True
2002-06-01,25.972,0.213,Abidjan,Côte D'Ivoire,5.63,-3.23,1,6,2002,2,5.630000000000001,-3.23,26.90191666666667,28.98,24.58,1.428491480451397,0.31983333333333336,,,-0.9299166666666672,False
2002-07-01,25.054,0.183,Abidjan,Côte D'Ivoire,5.63,-3.23,1,7,2002,3,5.630000000000001,-3.23,26.903666666666666,28.98,24.58,1.4273636148118989,0.3413333333333333,,,-1.8496666666666677,False
2002-08-01,24.58,0.253,Abidjan,Côte D'Ivoire,5.63,-3.23,1,8,2002,3,5.630000000000001,-3.23,26.917583333333337,28.98,24.58,1.4099698258197668,0.34558333333333335,,,-2.3375833333333382,False
2002-09-01,25.26,0.261,Abidjan,Côte D'Ivoire,5.63,-3.23,1,9,2002,3,5.630000000000001,-3.23,26.942583333333335,28.98,24.88,1.3704053207192233,0.35141666666666665,24.797,0.46300000000000097,-1.6825833333333335,False
2002-10-01,26.076,0.284,Abidjan,Côte D'Ivoire,5.63,-3.23,1,10,2002,4,5.630000000000001,-3.23,26.982333333333333,28.98,24.88,1.327262617403036,0.351,26.278,-0.20199999999999818,-0.9063333333333325,False
2002-11-01,27.282,0.362,Abidjan,Côte D'Ivoire,5.63,-3.23,1,11,2002,4,5.630000000000001,-3.23,27.033833333333337,28.98,24.88,1.3028616473832606,0.35883333333333334,27.374,-0.09199999999999875,0.24816666666666265,True
2002-12-01,27.087,0.514,Abidjan,Côte D'Ivoire,5.63,-3.23,1,12,2002,4,5.630000000000001,-3.23,27.050250000000002,28.98,24.88,1.3071194235799581,0.3665,27.598000000000003,-0.5110000000000028,0.03674999999999784,True
2003-01-01,27.59,0.477,Abidjan,Côte D'Ivoire,5.63,-3.23,1,1,2003,1,5.630000000000001,-3.23,27.05066666666666,28.98,24.88,1.3071318687195352,0.36791666666666667,27.192,0.3979999999999997,0.5393333333333388,True
2003-02-01,28.863000000000003,0.379,Abidjan,Côte D'Ivoire,5.63,-3.23,1,2,2003,1,5.630000000000001,-3.23,27.062166666666666,28.98,24.88,1.3124226220577313,0.35225,28.796,0.06700000000000372,1.8008333333333368,True
2003-03-01,28.98,0.383,Abidjan,Côte D'Ivoire,5.63,-3.23,1,3,2003,1,5.630000000000001,-3.23,27.048999999999996,28.98,24.88,1.2949664731824786,0.3563333333333334,28.564,0.41600000000000037,1.9310000000000045,True
2003-04-01,28.169,0.282,Abidjan,Côte D'Ivoire,5.63,-3.23,1,4,2003,2,5.630000000000001,-3.23,27.07466666666667,29.288,24.88,1.3354060764010658,0.34349999999999997,28.508000000000003,-0.3390000000000022,1.0943333333333314,True
2003-05-01,27.91,0.247,Abidjan,Côte D'Ivoire,5.63,-3.23,1,5,2003,2,5.630000000000001,-3.23,27.07325,29.288,24.88,1.3342529198643964,0.33641666666666664,27.721,0.18900000000000006,0.8367499999999986,True
