post,lat,lon,inside,common_dist,current_date,description,weapon,district,neighborhood
-1.0735012530710086,-0.29355163340581025,1.1203381896222473,0.0,1.0,2016-11-11 23:29:00,COMMON ASSAULT,HANDS,SOUTHEASTERN,Patterson Park Neighborhood
-0.22482001519128259,0.6976449379416141,2.0219289683782704,0.0,1.0,2012-09-25 01:00:00,LARCENY FROM AUTO,NONE,NORTHEASTERN,Cedmont
-1.0735012530710086,-0.2764995694038605,1.0265214463111472,1.0,1.0,2015-10-23 08:00:00,BURGLARY,NONE,SOUTHEASTERN,Patterson Park Neighborhood
0.41073947685317597,0.3732929120322004,-1.0324591809373889,0.0,1.0,2014-12-24 08:00:00,LARCENY,NONE,NORTHWESTERN,Park Circle
0.14053154909774748,0.5287569423478378,-0.26743707915325504,1.0,1.0,2012-06-13 09:00:00,LARCENY,NONE,NORTHERN,Roland Park
0.14053154909774748,0.6243573437205314,-0.5645630180950618,1.0,1.0,2015-06-12 04:35:00,BURGLARY,NONE,NORTHERN,Medfield
-1.0354437984575682,-0.4199908739308318,1.0398220478946536,0.0,1.0,2011-08-31 15:30:00,LARCENY FROM AUTO,NONE,SOUTHEASTERN,Canton
-0.2971291789568198,0.4792333947677098,1.3338603471832187,1.0,1.0,2015-07-24 14:00:00,BURGLARY,NONE,NORTHEASTERN,Waltherson
0.8712346776758076,0.0676255945504578,-0.6481667994762349,1.0,1.0,2016-09-15 07:25:00,COMMON ASSAULT,HANDS,WESTERN,Penn North
-1.1077529622231053,-0.41473013078129956,0.45317051377265793,1.0,1.0,2011-09-19 21:05:00,LARCENY FROM AUTO,NONE,SOUTHEASTERN,Fells Point
-0.2971291789568198,0.4478503408066362,1.3768497915866424,1.0,1.0,2011-08-28 03:42:00,BURGLARY,NONE,NORTHEASTERN,Frankford
-0.2666832152660673,0.1737474822220869,0.929617063346805,0.0,1.0,2011-10-01 21:00:00,LARCENY,NONE,NORTHEASTERN,Belair-Edison
0.4906601315414013,0.7515222039904181,-1.6271860803066098,1.0,1.0,2015-07-22 20:40:00,BURGLARY,NONE,NORTHWESTERN,Arlington
-0.7271784160886989,-0.08910827031853273,0.5213360968869475,1.0,1.0,2013-11-09 09:30:00,AGG. ASSAULT,KNIFE,EASTERN,Gay Street
-1.450270053744071,-0.05246447320792693,-0.3268147647930894,1.0,1.0,2011-12-10 00:30:00,LARCENY,NONE,CENTRAL,Upton
0.03777642164145779,0.13438261106865518,0.04892722993624425,0.0,1.0,2014-07-20 17:30:00,LARCENY FROM AUTO,NONE,NORTHERN,Old Goucher
-0.3161579062635401,0.742270552244578,0.9980201572040671,0.0,1.0,2015-06-13 05:00:00,LARCENY FROM AUTO,NONE,NORTHEASTERN,Lauraville
-1.9172350218509875,41.20754404861868,0.7633595435553363,0.0,1.0,2016-08-02 23:00:00,AUTO THEFT,NONE,NORTHEASTERN,New Northwood
-1.1115587076844493,-0.2979053518743575,0.5111231349570201,0.0,1.0,2015-11-19 21:30:00,LARCENY FROM AUTO,NONE,SOUTHEASTERN,Washington Hill
