post,lat,lon,description,weapon,district,neighborhood,inside,common_dist,current_date,dist_center,day_period,crime_type
942.0,39.27471,-76.61593,LARCENY FROM AUTO,0,SOUTHERN,Sharp-Leadenhall,0.0,1.0,2012-12-15 19:30:00,3.6437145282616203,7,2
941.0,39.27199,-76.62815,LARCENY,0,SOUTHERN,Carroll - Camden Industrial Area,1.0,1.0,2011-02-19 15:00:00,4.091216552435514,6,1
922.0,39.24779,-76.62906,COMMON ASSAULT,1,SOUTHERN,Cherry Hill,1.0,1.0,2015-10-23 01:10:00,6.73813403736678,1,21
844.0,39.30274,-76.68671,ROBBERY - RESIDENCE,0,SOUTHWESTERN,Edmondson Village,1.0,0.0,2015-10-29 01:00:00,6.142112420230004,1,14
842.0,39.28849,-76.67362,ARSON,0,SOUTHWESTERN,Saint Josephs,0.0,0.0,2012-11-19 04:00:00,5.421316552461576,2,41
911.0,39.22967,-76.59045,ROBBERY - RESIDENCE,4,SOUTHERN,Curtis Bay,0.0,0.0,2012-01-19 12:40:00,8.920260714967238,5,14
343.0,39.30951,-76.59782,AGG. ASSAULT,4,EASTERN,Oliver,0.0,1.0,2012-10-04 00:23:00,1.5474526405385622,1,32
614.0,39.34857,-76.67517,LARCENY,0,NORTHWESTERN,Central Park Heights,1.0,1.0,2013-09-16 00:30:00,6.86743224398952,1,1
533.0,39.33334,-76.65883,BURGLARY,0,NORTHERN,Greenspring,1.0,1.0,2012-04-05 06:30:00,4.7024799292314405,3,15
313.0,39.29924,-76.60001,LARCENY,0,EASTERN,Oldtown,0.0,1.0,2011-04-21 03:30:00,1.6246478237328825,2,1
532.0,39.34784,-76.66876,ASSAULT BY THREAT,0,NORTHWESTERN,Cylburn,1.0,0.0,2012-11-19 14:50:00,6.409189761294006,5,31
213.0,39.28314,-76.59351,LARCENY,0,SOUTHEASTERN,Fells Point,1.0,1.0,2012-02-18 19:00:00,3.3075388687567777,7,1
222.0,39.29131,-76.57063,COMMON ASSAULT,1,SOUTHEASTERN,Patterson Park Neighborhood,1.0,1.0,2015-01-06 13:45:00,4.268058820760905,5,21
243.0,39.27356,-76.53132,ROBBERY - COMMERCIAL,4,SOUTHEASTERN,Graceland Park,1.0,0.0,2011-09-21 00:54:00,8.177307884199955,1,12
312.0,39.2993,-76.60336,COMMON ASSAULT,1,EASTERN,Oldtown,1.0,1.0,2011-02-13 02:18:00,1.3915408327896601,1,21
221.0,39.29853,-76.57736,LARCENY,0,SOUTHEASTERN,McElderry Park,1.0,1.0,2012-02-25 11:00:00,3.4386281350510384,4,1
742.0,39.30545,-76.64216,BURGLARY,0,WESTERN,Sandtown-Winchester,1.0,1.0,2014-03-01 16:39:00,2.296309272334103,6,15
213.0,39.28121,-76.5944,LARCENY,0,SOUTHEASTERN,Fells Point,1.0,1.0,2011-12-25 22:50:00,3.444154908372061,8,1
731.0,39.31298,-76.66144,BURGLARY,0,WESTERN,Panway/Braddish Avenue,1.0,1.0,2012-12-24 03:46:00,3.9917520133581244,2,15
843.0,39.28475,-76.68475,BURGLARY,0,SOUTHWESTERN,Irvington,1.0,1.0,2013-06-16 21:00:00,6.46584175158963,8,15
932.0,39.28286,-76.63131,AUTO THEFT,0,SOUTHERN,Washington Village/Pigtown,0.0,0.0,2013-02-16 18:41:00,3.0527008075731406,7,3
425.0,39.34507,-76.54516,ROBBERY - STREET,4,NORTHEASTERN,Glenham-Belhar,0.0,0.0,2012-06-18 22:45:00,7.364018535454378,8,11
414.0,39.3586,-76.58932,LARCENY,0,NORTHEASTERN,Woodbourne Heights,0.0,1.0,2011-04-27 18:00:00,6.120290228061536,7,1
942.0,39.27555,-76.61619,LARCENY FROM AUTO,0,SOUTHERN,Sharp-Leadenhall,0.0,1.0,2013-11-23 02:00:00,3.5505334289953914,1,2
513.0,39.32549,-76.6042,LARCENY,0,NORTHERN,Better Waverly,1.0,1.0,2013-01-11 11:00:00,2.2318751307637186,4,1
532.0,39.35063,-76.66659,AGG. ASSAULT,2,NORTHERN,Cylburn,0.0,0.0,2011-03-01 07:00:00,6.502874324147204,3,32
143.0,39.29899,-76.62202,LARCENY FROM AUTO,0,CENTRAL,Seton Hill,0.0,1.0,2015-08-17 17:30:00,1.0927169899645728,6,2
111.0,39.28966,-76.60981,LARCENY,0,CENTRAL,Downtown,1.0,1.0,2012-08-27 09:15:00,2.0426378143783808,4,1
343.0,39.30897,-76.60242,LARCENY FROM AUTO,0,EASTERN,Oliver,0.0,1.0,2015-03-31 23:30:00,1.1470490808013996,8,2
631.0,39.35317,-76.69812,BURGLARY,0,NORTHWESTERN,Reisterstown Station,1.0,1.0,2012-07-04 20:00:00,8.731253903618967,7,15
133.0,39.31447,-76.63969,LARCENY,0,CENTRAL,Reservoir Hill,0.0,1.0,2013-04-02 16:00:00,2.2140717440515836,6,1
733.0,39.30955,-76.64192,ROBBERY - COMMERCIAL,0,WESTERN,Penn North,1.0,0.0,2016-02-01 08:56:00,2.2763899074494773,3,12
731.0,39.31349,-76.64678,AUTO THEFT,0,WESTERN,Mondawmin,0.0,1.0,2012-07-14 06:00:00,2.765104444322511,3,3
721.0,39.29699,-76.65386,BURGLARY,0,WESTERN,Evergreen Lawn,1.0,1.0,2012-09-15 00:01:00,3.4926462664813966,1,15
331.0,39.31106,-76.58532,AGG. ASSAULT,2,EASTERN,Broadway East,1.0,1.0,2016-07-01 23:00:00,2.636869842174756,8,32
111.0,39.28972,-76.60966,LARCENY,0,CENTRAL,Downtown,0.0,1.0,2012-12-06 16:30:00,2.039368813288454,6,1
921.0,39.26677,-76.63081,LARCENY,0,SOUTHERN,Westport,0.0,1.0,2015-11-27 08:00:00,4.7121657795926195,3,1
743.0,39.30347,-76.64318,COMMON ASSAULT,1,WESTERN,Sandtown-Winchester,1.0,1.0,2012-02-15 16:15:00,2.414439774316419,6,21
814.0,39.30077,-76.66731,BURGLARY,0,SOUTHWESTERN,Winchester,1.0,1.0,2011-12-25 17:00:00,4.5118930375210455,6,15
132.0,39.3063,-76.62328,LARCENY,0,CENTRAL,Bolton Hill,1.0,1.0,2014-02-21 13:30:00,0.6730923200022288,5,1
121.0,39.29703,-76.62667,COMMON ASSAULT,1,CENTRAL,Heritage Crossing,1.0,1.0,2013-05-02 19:00:00,1.5015888313353125,7,21
532.0,39.34245,-76.66506,LARCENY FROM AUTO,0,NORTHERN,Parklane,0.0,1.0,2013-02-03 02:00:00,5.765774512809436,1,2
843.0,39.29191,-76.68048,LARCENY,0,SOUTHWESTERN,Allendale,0.0,1.0,2013-04-19 15:30:00,5.845810758317712,6,1
934.0,39.28149,-76.64811,AGG. ASSAULT,3,SOUTHERN,Carrollton Ridge,0.0,0.0,2016-09-02 15:00:00,4.022090925432383,6,32
112.0,39.28657,-76.61214,COMMON ASSAULT,1,CENTRAL,Inner Harbor,0.0,1.0,2016-10-20 12:46:00,2.343533263685005,5,21
713.0,39.29692,-76.6333,COMMON ASSAULT,1,WESTERN,Harlem Park,0.0,1.0,2013-10-12 09:15:00,1.9224261850702955,4,21
622.0,39.33004,-76.69467,LARCENY FROM AUTO,0,NORTHWESTERN,Howard Park,0.0,1.0,2015-05-31 03:30:00,7.251744330016366,2,2
432.0,39.31849,-76.56479,COMMON ASSAULT,1,NORTHEASTERN,Belair-Edison,1.0,1.0,2014-04-19 12:00:00,4.5415912498532895,5,21
434.0,39.31766,-76.57819,ROBBERY - COMMERCIAL,4,NORTHEASTERN,Belair-Edison,1.0,0.0,2016-03-30 10:28:00,3.413600554179707,4,12
142.0,39.29691,-76.61999,LARCENY,0,CENTRAL,Mount Vernon,1.0,1.0,2012-07-28 13:20:00,1.233504656549988,5,1
831.0,39.26784,-76.64937,LARCENY,0,SOUTHWESTERN,Morrell Park,0.0,1.0,2014-08-10 01:59:00,5.279816945732106,1,1
511.0,39.31772,-76.61983,ROBBERY - COMMERCIAL,4,NORTHERN,Remington,0.0,0.0,2011-03-18 01:25:00,1.1967694622795153,1,12
843.0,39.28674,-76.68682,COMMON ASSAULT,1,SOUTHWESTERN,Irvington,0.0,1.0,2016-02-05 19:00:00,6.548974607944313,7,21
123.0,39.30035,-76.62663,SHOOTING,4,CENTRAL,Upton,0.0,0.0,2011-07-29 23:37:00,1.2357459420533807,8,51
412.0,39.33536,-76.60023,LARCENY,0,NORTHEASTERN,Ednor Gardens-Lakeside,0.0,1.0,2012-05-18 08:30:00,3.372616342340779,3,1
821.0,39.3099,-76.70143,LARCENY,0,SOUTHWESTERN,Wakefield,0.0,1.0,2013-01-15 19:30:00,7.391004392325841,7,1
812.0,39.311,-76.67501,AGG. ASSAULT,3,SOUTHWESTERN,Mount Holly,0.0,1.0,2015-04-16 14:22:00,5.1273578160123385,5,32
423.0,39.35748,-76.57032,LARCENY,0,NORTHEASTERN,Hamilton Hills,1.0,1.0,2012-08-06 10:15:00,6.791290529863147,4,1
532.0,39.34369,-76.65919,COMMON ASSAULT,1,NORTHERN,Parklane,1.0,1.0,2015-11-04 12:45:00,5.503924617947959,5,21
221.0,39.29479,-76.5788,AGG. ASSAULT,3,SOUTHEASTERN,McElderry Park,0.0,0.0,2015-09-07 22:30:00,3.467607586962349,8,32
111.0,39.28879,-76.61423,LARCENY,0,CENTRAL,Downtown,1.0,1.0,2013-04-26 16:30:00,2.0809155125537737,6,1
531.0,39.33717,-76.62875,LARCENY FROM AUTO,0,NORTHERN,Hampden,1.0,1.0,2011-09-20 14:00:00,3.4918087805017066,5,2
731.0,39.31132,-76.65137,BURGLARY,0,WESTERN,Mondawmin,1.0,1.0,2012-07-18 02:00:00,3.1074929627798644,1,15
531.0,39.32342,-76.64684,LARCENY FROM AUTO,0,NORTHERN,Druid Hill Park,0.0,1.0,2016-09-04 12:00:00,3.2205320117227325,5,2
632.0,39.36751,-76.67896,COMMON ASSAULT,1,NORTHWESTERN,Cheswolde,1.0,1.0,2011-10-26 16:55:00,8.61980722868069,6,21
643.0,39.33752,-76.67908,AUTO THEFT,0,NORTHWESTERN,Dolfield,0.0,1.0,2011-03-06 18:00:00,6.403172744928516,7,3
531.0,39.33123,-76.63505,AGG. ASSAULT,1,NORTHERN,Hampden,0.0,0.0,2012-01-10 15:30:00,3.127965868505349,6,32
813.0,39.30101,-76.67085,BURGLARY,0,SOUTHWESTERN,Rosemont,1.0,1.0,2011-05-06 12:30:00,4.808579939926997,5,15
841.0,39.28388,-76.65512,LARCENY,0,SOUTHWESTERN,Millhill,1.0,1.0,2013-02-22 19:35:00,4.295563150206282,7,1
311.0,39.30796,-76.60974,LARCENY,0,EASTERN,Greenmount West,1.0,1.0,2016-05-02 02:00:00,0.5078121999443586,1,1
622.0,39.33061,-76.69317,COMMON ASSAULT,1,NORTHWESTERN,Howard Park,0.0,1.0,2011-11-28 20:00:00,7.153335225706001,7,21
112.0,39.28655,-76.61134,LARCENY,0,CENTRAL,Inner Harbor,1.0,1.0,2011-11-19 19:50:00,2.3554885720884817,7,1
425.0,39.34483,-76.54208,BURGLARY,0,NORTHEASTERN,Glenham-Belhar,1.0,1.0,2011-01-20 20:00:00,7.568947296776095,7,15
243.0,39.27446,-76.5346,COMMON ASSAULT,1,SOUTHEASTERN,Broening Manor,1.0,1.0,2015-02-25 13:00:00,7.880679746055466,5,21
632.0,39.34879,-76.69185,ROBBERY - COMMERCIAL,4,NORTHWESTERN,Woodmere,1.0,0.0,2013-12-20 22:15:00,8.009628403693693,8,12
213.0,39.28557,-76.59012,COMMON ASSAULT,1,SOUTHEASTERN,Fells Point,0.0,1.0,2014-05-26 05:12:00,3.2779735339793765,2,21
212.0,39.29219,-76.58916,BURGLARY,0,SOUTHEASTERN,Butcher's Hill,1.0,1.0,2011-12-21 17:30:00,2.840647346950355,6,15
424.0,39.36056,-76.53909,AGG. ASSAULT,2,NORTHEASTERN,North Harford Road,1.0,0.0,2013-07-13 18:35:00,8.843217067368462,7,32
514.0,39.31374,-76.61263,ROBBERY - STREET,0,NORTHERN,Barclay,0.0,0.0,2012-06-30 18:50:00,0.7430935199158352,7,11
641.0,39.31449,-76.67129,AUTO THEFT,0,NORTHWESTERN,Hanlon-Longwood,0.0,1.0,2015-06-17 00:30:00,4.855249467885434,1,3
932.0,39.28323,-76.62677,LARCENY,0,SOUTHERN,Washington Village/Pigtown,1.0,1.0,2014-08-19 08:30:00,2.862098851788918,3,1
141.0,39.30031,-76.61854,HOMICIDE,2,CENTRAL,Mid-Town Belvedere,0.0,0.0,2013-07-22 03:20:00,0.8352910790101168,2,61
133.0,39.31691,-76.63663,LARCENY FROM AUTO,0,CENTRAL,Reservoir Hill,0.0,1.0,2013-07-19 22:00:00,2.0919153539799216,8,2
731.0,39.318,-76.65821,LARCENY,0,NORTHWESTERN,Mondawmin,1.0,1.0,2016-08-21 15:17:00,3.8488791505708857,6,1
531.0,39.33423,-76.63372,LARCENY FROM AUTO,0,NORTHERN,Hampden,0.0,1.0,2014-06-01 20:00:00,3.3599585652791277,7,2
614.0,39.34854,-76.67499,LARCENY,0,NORTHWESTERN,Central Park Heights,1.0,1.0,2012-10-16 15:58:00,6.8536596586400815,6,1
443.0,39.32879,-76.5416,LARCENY,0,NORTHEASTERN,Frankford,0.0,1.0,2016-10-30 06:00:00,6.795417253551761,3,1
321.0,39.29758,-76.59087,COMMON ASSAULT,1,EASTERN,Dunbar-Broadway,1.0,1.0,2011-08-20 21:00:00,2.3963238997448646,8,21
213.0,39.28336,-76.58996,LARCENY FROM AUTO,0,SOUTHEASTERN,Fells Point,0.0,1.0,2012-12-09 15:00:00,3.4732890140847537,6,2
844.0,39.29933,-76.68222,COMMON ASSAULT,1,SOUTHWESTERN,Edmondson Village,1.0,1.0,2011-11-12 16:45:00,5.804282623688922,6,21
312.0,39.29768,-76.60184,BURGLARY,0,EASTERN,Oldtown,1.0,1.0,2013-05-22 23:10:00,1.6090965379823305,8,15
722.0,39.29709,-76.65258,AGG. ASSAULT,3,WESTERN,Midtown-Edmondson,1.0,1.0,2015-09-10 21:21:00,3.385181407650014,8,32
421.0,39.34516,-76.56899,COMMON ASSAULT,1,NORTHEASTERN,Lauraville,1.0,1.0,2011-05-08 19:30:00,5.801890909997995,7,21
443.0,39.32004,-76.55173,COMMON ASSAULT,1,NORTHEASTERN,Frankford,0.0,1.0,2015-10-09 19:37:00,5.67189840846087,7,21
224.0,39.2954,-76.57566,COMMON ASSAULT,1,SOUTHEASTERN,Ellwood Park/Monument,1.0,1.0,2012-02-26 20:00:00,3.6909087607539237,7,21
223.0,39.29193,-76.56662,ROBBERY - STREET,0,SOUTHEASTERN,Baltimore Highlands,0.0,0.0,2015-01-10 16:45:00,4.556803835063543,6,11
242.0,39.28706,-76.55422,AGG. ASSAULT,1,SOUTHEASTERN,Greektown,1.0,0.0,2016-05-16 02:00:00,5.750770139020005,1,32
445.0,39.34437,-76.54263,AUTO THEFT,0,NORTHEASTERN,Cedmont,0.0,1.0,2013-09-22 15:00:00,7.501341208913021,6,3
923.0,39.25074,-76.64385,LARCENY,0,SOUTHERN,Lakeland,1.0,1.0,2013-05-17 23:25:00,6.7620665234216135,8,1
821.0,39.30504,-76.70034,AGG. ASSAULT,3,SOUTHWESTERN,Franklintown,0.0,1.0,2016-08-27 02:00:00,7.297502490858644,1,32
341.0,39.31131,-76.6135,COMMON ASSAULT,1,EASTERN,Barclay,0.0,1.0,2012-06-06 14:20:00,0.46413523291288417,5,21
441.0,39.33462,-76.53313,LARCENY FROM AUTO,0,NORTHEASTERN,Cedonia,0.0,1.0,2015-09-11 19:00:00,7.71255503625,7,2
412.0,39.33255,-76.58896,ROBBERY - STREET,0,NORTHEASTERN,Ednor Gardens-Lakeside,0.0,0.0,2013-10-28 16:15:00,3.6110392526533466,6,11
313.0,39.29855,-76.59445,COMMON ASSAULT,1,EASTERN,Gay Street,0.0,1.0,2013-01-24 00:55:00,2.073542158227883,1,21
841.0,39.28233,-76.6518,ROBBERY - RESIDENCE,2,SOUTHWESTERN,Carrollton Ridge,1.0,0.0,2012-07-09 12:00:00,4.186185341451556,5,14
631.0,39.34783,-76.69322,ROBBERY - STREET,4,NORTHWESTERN,Reisterstown Station,0.0,0.0,2012-08-21 01:01:00,8.046424957341634,1,11
233.0,39.28066,-76.565,BURGLARY,0,SOUTHEASTERN,Canton Industrial Area,1.0,1.0,2016-03-01 18:30:00,5.278919208276873,7,15
733.0,39.31095,-76.63808,ROBBERY - STREET,3,WESTERN,Penn North,0.0,0.0,2011-06-27 04:00:00,1.9724770058628363,2,11
111.0,39.29092,-76.62242,ROBBERY - STREET,4,CENTRAL,Downtown,0.0,0.0,2016-09-29 18:30:00,1.931804481254926,7,11
415.0,39.35868,-76.57564,COMMON ASSAULT,1,NORTHEASTERN,Loch Raven,1.0,1.0,2014-08-13 02:52:00,6.653365673743683,1,21
