current_date,inside,weapon,post,lat,lon,dist_center,day_period,crime_type,neighborhood_lat,neighborhood_lon,district_lat,district_lon,common_dist
2012-04-16 23:20:00,0,4,743.0,39.30374,-76.64344,2.431130175188173,8,51,39.303994987531176,-76.64276381546135,39.30325811828833,-76.6475476693083,0.0
2013-11-17 15:00:00,1,1,223.0,39.29365,-76.56879,4.312685077406402,6,21,39.29235145,-76.56678550000001,39.28954494317715,-76.57517554868063,1.0
2013-04-05 15:55:00,0,2,731.0,39.31043,-76.64657,2.68503446313654,6,32,39.314331216931215,-76.65309333333333,39.30325811828833,-76.6475476693083,1.0
2016-08-12 07:30:00,0,0,822.0,39.28261,-76.69493,7.366562225181946,3,3,39.28297578947368,-76.69448263157894,39.290191818719975,-76.67458630780087,1.0
2011-06-29 17:00:00,0,0,832.0,39.26457,-76.67477,6.979155964190624,6,1,39.267896,-76.67382238095239,39.290191818719975,-76.67458630780087,1.0
2015-09-16 20:20:00,0,1,842.0,39.28422,-76.65457,4.234973408866836,7,21,39.28633765306122,-76.65671071428571,39.290191818719975,-76.67458630780087,1.0
2014-01-06 13:45:00,1,0,632.0,39.35409,-76.69698,8.712177031928697,5,15,39.35599826589596,-76.69229919075144,39.340550095447526,-76.68238401277931,1.0
2012-09-01 22:00:00,0,0,445.0,39.34859,-76.5376,8.121744649172657,8,2,39.34688755102041,-76.53597193877552,39.33762689962533,-76.5666633515134,1.0
2012-03-09 17:30:00,0,0,231.0,39.29019,-76.56848,4.488530401314393,6,1,39.28812547486034,-76.56757787709498,39.28954494317715,-76.57517554868063,1.0
2016-11-11 23:29:00,0,1,222.0,39.2919,-76.57016,4.277787617956037,8,21,39.2928949122807,-76.57479923976608,39.28954494317715,-76.57517554868063,1.0
2011-10-02 20:50:00,1,4,913.0,39.2339,-76.59694,8.339118802903478,7,32,39.23384687782806,-76.60312712669683,39.26376186739272,-76.62165641425072,0.0
2013-02-13 02:15:00,0,1,111.0,39.28977,-76.60991,2.0286781631533706,1,21,39.29085047974414,-76.615084445629,39.29873684383431,-76.620764340225,1.0
2014-10-08 21:00:00,0,0,941.0,39.27844,-76.63802,3.761278661201626,8,2,39.27471564285714,-76.63073878571429,39.26376186739272,-76.62165641425072,1.0
2014-03-05 12:00:00,1,0,445.0,39.35113,-76.53295,8.611341260335971,5,1,39.34688755102041,-76.53597193877552,39.33762689962533,-76.5666633515134,1.0
2011-07-01 01:01:00,1,0,412.0,39.32842,-76.60103,2.646466224011481,1,1,39.32447768817204,-76.60684505376345,39.33762689962533,-76.5666633515134,1.0
2012-03-18 19:00:00,0,0,923.0,39.2579,-76.64434,6.042867275482499,7,2,39.25403085227273,-76.64770573863636,39.26376186739272,-76.62165641425072,1.0
2016-02-21 03:00:00,1,0,233.0,39.26882,-76.54317,7.573877394254602,2,31,39.27767929292929,-76.5619295959596,39.28954494317715,-76.57517554868063,0.0
2013-02-10 01:30:00,1,1,111.0,39.28835,-76.60683,2.25667004342298,1,32,39.29085047974414,-76.615084445629,39.29873684383431,-76.620764340225,0.0
2015-08-28 00:04:00,1,0,213.0,39.28376,-76.58853,3.5193308744822915,1,15,39.28431501347709,-76.59348733153638,39.28954494317715,-76.57517554868063,1.0
2013-09-16 01:01:00,1,0,731.0,39.31868,-76.65399,3.530678171822608,1,1,39.314331216931215,-76.65309333333333,39.30325811828833,-76.6475476693083,1.0
2013-09-22 02:00:00,1,0,941.0,39.27648,-76.62549,3.5501927273904608,1,1,39.27471564285714,-76.63073878571429,39.26376186739272,-76.62165641425072,1.0
2013-12-28 11:30:00,0,0,233.0,39.28221,-76.56404,5.253085776301692,4,1,39.28477447368421,-76.56521263157894,39.28954494317715,-76.57517554868063,1.0
