temperature,uncertainty,lat,lon,average_diff_pos,current_date,city,country
0.9042040593100875,0.6128922955280705,-0.039270146983617825,0.7654920861363285,1,1962-04-01,Bombay,India
-0.15194008756807084,-0.7533355070199976,0.5071955852951071,0.08088601402804751,0,1986-03-01,Cairo,Egypt
0.9601134099489358,-0.5884459446435066,-0.039270146983617825,0.7654920861363285,1,1979-09-01,Bombay,India
0.14317635820914099,0.7071149026003507,-1.6772113960428514,-1.2266618544441361,0,1937-05-01,Brasília,Brazil
0.29262181656234915,-0.8475581140922782,-0.7410369754694406,-1.704725755645173,1,1961-07-01,Cali,Colombia
0.39465048386742013,-0.6658430861671656,0.9750401376189891,0.11254697281077915,1,1952-08-01,Ankara,Turkey
-2.3758111781690086,0.19898584303198094,1.130826549751734,-1.88590600668981,0,1933-02-01,Chicago,United States
-0.05628083995603305,-0.29904793720721634,0.5853314493243033,0.06066278381080534,0,1926-04-01,Alexandria,Egypt
1.2270392759736481,-0.7533355070199976,-0.27319242314555875,1.2168679540178897,1,2010-06-01,Bangkok,Thailand
1.097645694431841,-0.8610184865311755,0.1951374451039702,1.023586917679329,1,1925-07-01,Calcutta,India
0.39146577402090377,-0.2788573785488705,-0.7410369754694406,-1.704725755645173,1,2004-06-01,Cali,Colombia
-0.21787537661262024,-0.026475395319547547,-0.5071146993074996,0.19244530858709666,1,1989-02-01,Addis Abeba,Ethiopia
-0.3657874561508383,0.31339900876260707,-1.9111336722047922,-1.1746119012620537,0,1917-06-01,Belo Horizonte,Brazil
0.013075063368107907,-0.013015022880650312,0.1951374451039702,0.7628398592225917,0,1974-01-01,Ahmadabad,India
0.24261007675038374,-0.18126967836686572,-2.5352499525870664,-0.1377569421731201,1,1995-02-01,Cape Town,South Africa
-3.3115261119622215,-0.16107911970851987,1.20896241378093,1.636417098934611,0,1993-02-01,Changchun,China
0.4591703463135172,-0.7331449483616518,-0.3513282871747548,0.841412081542041,0,1907-11-01,Bangalore,India
0.1175807272204697,-0.7701609725686192,-0.7410369754694406,-1.6780377223256977,0,2008-07-01,Bogotá,Colombia
-1.7985530304337272,-0.8980345107381429,1.130826549751734,-1.88590600668981,0,1992-03-01,Chicago,United States
0.5400855668583482,0.9998780031463655,-1.6772113960428514,-1.2266618544441361,1,1954-10-01,Brasília,Brazil
-0.21138800470304844,-0.4201912891572914,0.5853314493243033,0.06066278381080534,0,1970-03-01,Alexandria,Egypt
0.12277062474812656,-0.8105420898853107,-0.7410369754694406,-1.6780377223256977,1,1985-01-01,Bogotá,Colombia
0.26749799443982863,-0.37307998562115113,-0.7410369754694406,-1.6780377223256977,1,2004-03-01,Bogotá,Colombia
0.814678326958009,-0.5413346411073664,0.1951374451039702,1.023586917679329,0,1901-03-01,Calcutta,India
-0.43809216488842045,1.9151833289913767,-0.5071146993074996,0.19244530858709666,0,1953-07-01,Addis Abeba,Ethiopia
-0.8379501789510693,0.3033037294334345,0.6629819974278522,0.30665683005988253,0,1900-02-01,Baghdad,Iraq
1.0643831693682224,-0.5884459446435066,-0.19505655911636274,-0.7293693081185085,1,1945-10-01,Dakar,Senegal
0.8263555963952356,-0.5245091755587448,-0.039270146983617825,0.7654920861363285,0,1960-12-01,Bombay,India
-1.5588741264292132,-0.9787967453715261,0.5071955852951071,1.3357208725897147,0,1985-01-01,Chongqing,China
-0.6947561880743568,1.0873704239991977,-2.5352499525870664,-0.1377569421731201,0,1914-09-01,Cape Town,South Africa
-0.6046406946395887,-0.21492060946410882,0.6629819974278522,-0.5503439914412825,0,1989-03-01,Casablanca,Morocco
0.8703517731637809,-0.4471120340350857,-0.19505655911636274,-0.7293693081185085,1,1940-10-01,Dakar,Senegal
1.5061142203017386,-0.6591128999477169,0.6629819974278522,0.30665683005988253,1,1945-06-01,Baghdad,Iraq
1.1519037140391621,0.03746137376521413,-0.27319242314555875,1.2168679540178897,1,1934-04-01,Bangkok,Thailand
0.9113991445188849,0.01054062888741966,0.1951374451039702,0.7628398592225917,1,2004-10-01,Ahmadabad,India
0.4545702098685489,-0.6725732723866142,-1.9111336722047922,-1.1746119012620537,1,1956-02-01,Belo Horizonte,Brazil
0.09210304844833661,-0.38317526495032406,-0.7410369754694406,-1.6780377223256977,0,1957-04-01,Bogotá,Colombia
0.21949144230900328,-0.4874931513517774,0.5071955852951071,1.3357208725897147,1,1980-09-01,Chongqing,China
0.8087807161311249,0.36051031229874736,0.5071955852951071,1.3357208725897147,1,1918-07-01,Chongqing,China
0.5416189456733379,1.8647069323455117,0.5071955852951071,1.3357208725897147,1,1923-06-01,Chongqing,China
-2.0635916609938367,-0.5144138962295719,1.5991564180012632,-0.2214678541379341,0,1966-02-01,Berlin,Germany
0.8781366194552659,-0.2553017267808003,-0.27319242314555875,1.2168679540178897,0,1904-10-01,Bangkok,Thailand
-1.5404735806493393,-0.17790458525714142,0.5853314493243033,1.2790295223085932,0,1941-11-01,Chengdu,China
1.6212355836424892,0.5253998746752385,0.1951374451039702,0.7628398592225917,1,1975-05-01,Ahmadabad,India
0.29132434218043507,-0.7836213450075163,0.6629819974278522,-0.5503439914412825,1,1959-06-01,Casablanca,Morocco
1.2104080134418391,-0.8475581140922782,-0.27319242314555875,1.2168679540178897,1,1977-04-01,Bangkok,Thailand
0.24732816541188982,-0.9653363729326289,-0.7410369754694406,-1.6780377223256977,1,1998-04-01,Bogotá,Colombia
-0.15288370530037154,1.4306099211910763,-0.5071146993074996,0.19244530858709666,1,1924-01-01,Addis Abeba,Ethiopia
