Unnamed: 0,dateRep,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,day,month,year,ratio,cases_per_100k,high_risk_2k
234,24/04/2020,13,1,Australia,AU,AUS,25203200.0,Oceania,2.04339132,24,4,2020,0.07692307692307693,0.05158075165058405,False
2387,04/11/2020,5,0,Solomon_Islands,SB,SLB,669821.0,Oceania,1.49293617,4,11,2020,0.0,0.7464680862499086,False
710,15/09/2020,146,0,French_Polynesia,PF,PYF,279285.0,Oceania,182.60916268,15,9,2020,0.0,52.2763485328607,False
723,02/09/2020,46,0,French_Polynesia,PF,PYF,279285.0,Oceania,129.61669979,2,9,2020,0.0,16.470630359668437,False
1647,28/06/2020,4,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.45995640000000004,28,6,2020,0.0,0.08362843718103592,False
1085,03/06/2020,2,0,Guam,GU,GUM,167295.0,Oceania,13.748169400000002,3,6,2020,0.0,1.1954929914223378,False
1650,25/06/2020,3,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.31360664,25,6,2020,0.0,0.06272132788577695,False
1069,19/06/2020,8,0,Guam,GU,GUM,167295.0,Oceania,12.55267641,19,6,2020,0.0,4.781971965689351,False
1751,14/03/2020,1,0,New_Zealand,NZ,NZL,4783062.0,Oceania,0.12544266,14,3,2020,0.0,0.02090710929525898,False
508,09/07/2020,2,0,Fiji,FJ,FJI,889955.0,Oceania,0.33709570000000005,9,7,2020,0.0,0.22473046389986007,False
1124,25/04/2020,1,0,Guam,GU,GUM,167295.0,Oceania,6.57521145,25,4,2020,0.0,0.5977464957111689,False
731,25/08/2020,74,0,French_Polynesia,PF,PYF,279285.0,Oceania,88.79818107,25,8,2020,0.0,26.49623144816227,False
1720,16/04/2020,6,0,New_Zealand,NZ,NZL,4783062.0,Oceania,7.54746646,16,4,2020,0.0,0.1254426557715539,False
941,25/10/2020,75,2,Guam,GU,GUM,167295.0,Oceania,680.23551212,25,10,2020,0.02666666666666667,44.83098717833767,False
1491,01/12/2020,3,0,New_Zealand,NZ,NZL,4783062.0,Oceania,1.1289839,1,12,2020,0.0,0.06272132788577695,False
