cases,deaths,population,high_risk_2w,current_date,country,first_date
-0.11258022167342374,0.02290864378234524,-0.3518786621662295,True,2020-07-27,KG,19/03/2020
0.0567526441265397,-0.21588911864221766,-0.363408600164742,True,2020-05-20,QA,31/12/2019
0.37267435995610754,-0.036790796823795484,-0.28047853550403995,True,2020-10-20,NP,31/12/2019
-0.10128158158105183,-0.21588911864221766,-0.363408600164742,True,2020-04-18,QA,31/12/2019
-0.0704671086018557,-0.17608949157145717,-0.3589848537496209,True,2020-07-29,KW,31/12/2019
-0.07824409463946236,-0.11639005096531645,-0.3589848537496209,True,2020-06-08,KW,31/12/2019
-0.11243348608780852,-0.1860393983391473,-0.3518786621662295,True,2020-10-31,KG,19/03/2020
-0.08895579238937339,-0.20593921187452752,-0.3410858136221893,True,2020-09-09,AE,31/12/2019
-0.16452461898121148,-0.21588911864221766,-0.3708118731746671,True,2020-08-09,MV,08/03/2020
0.02241651709257831,-0.21588911864221766,-0.3128354032646855,True,2020-07-06,KZ,15/03/2020
-0.06533136310532303,-0.1959893051068374,-0.3589848537496209,True,2020-09-08,KW,31/12/2019
-0.11390084194396072,-0.16613958480376703,-0.3128354032646855,True,2020-06-19,KZ,15/03/2020
-0.05007086220134018,-0.1959893051068374,-0.3589848537496209,True,2020-06-26,KW,31/12/2019
1.5065002300049097,4.331218274192167,-0.10576487134547315,True,2020-11-13,IR,31/12/2019
-0.05388598742733589,-0.1959893051068374,-0.3410858136221893,True,2020-09-10,AE,31/12/2019
-0.11639534689941945,-0.17608949157145717,-0.3564935875894609,True,2020-08-22,PS,06/03/2020
-0.17098098474828116,-0.21588911864221766,-0.3708118731746671,True,2020-09-16,MV,08/03/2020
-0.11859638068364775,-0.1362898645006967,-0.3564935875894609,True,2020-10-16,PS,06/03/2020
-0.092037239687293,-0.20593921187452752,-0.3538460399979028,True,2020-04-18,SG,31/12/2019
-0.18345350952557482,-0.21588911864221766,-0.3565142745460627,True,2020-10-10,OM,31/12/2019
-0.05535334328348809,-0.1860393983391473,-0.3410858136221893,True,2020-05-20,AE,31/12/2019
0.3918967216717013,0.3612054738838093,-0.24605044010267746,True,2020-10-14,IQ,31/12/2019
-0.10377608653651056,-0.1959893051068374,-0.3564935875894609,True,2020-10-20,PS,06/03/2020
-0.09101009058798645,-0.17608949157145717,-0.3589848537496209,True,2020-06-10,KW,31/12/2019
0.14024519234159966,0.4010051009545698,-0.24605044010267746,True,2020-10-12,IQ,31/12/2019
-0.14060671852593068,-0.1959893051068374,-0.363408600164742,True,2020-08-13,QA,31/12/2019
0.06585025043468332,-0.0964902374299362,-0.3504635263408859,True,2020-11-01,LB,31/12/2019
-0.17641020141604427,-0.21588911864221766,-0.3708118731746671,True,2020-09-23,MV,08/03/2020
-0.04610900138972925,0.27165631297459825,-0.3451110932198915,True,2020-10-18,IL,31/12/2019
-0.01984333156460494,-0.15618967803607692,-0.3564935875894609,True,2020-09-16,PS,06/03/2020
-0.0599021464375599,-0.20593921187452752,-0.3410858136221893,True,2020-09-17,AE,31/12/2019
-0.08293963337914938,-0.1362898645006967,-0.3565142745460627,True,2020-10-13,OM,31/12/2019
-0.1219712991527978,-0.21588911864221766,-0.36724005295257905,True,2020-05-29,BH,31/12/2019
-0.14236754555331332,-0.21588911864221766,-0.36724005295257905,True,2020-10-26,BH,31/12/2019
-0.17332875411812468,-0.21588911864221766,-0.3708118731746671,True,2020-10-15,MV,08/03/2020
0.09695819458510987,-0.10644014419762632,-0.28047853550403995,True,2020-10-02,NP,31/12/2019
0.2875677202992802,0.3015060332776686,-0.24605044010267746,True,2020-10-05,IQ,31/12/2019
0.0485354513320874,-0.046740703591485605,-0.2622694644943481,True,2020-05-30,SA,03/03/2020
-0.08939599914621904,-0.17608949157145717,-0.3589848537496209,True,2020-06-23,KW,31/12/2019
0.31486053922371104,0.4507546347930204,-0.24605044010267746,True,2020-08-12,IQ,31/12/2019
-0.17919817754273346,-0.20593921187452752,-0.3708118731746671,True,2020-11-12,MV,08/03/2020
0.6765637577652275,0.49055426186378087,-0.340020351708538,True,2020-11-17,JO,03/03/2020
-0.1756765234879682,-0.21588911864221766,-0.3708118731746671,True,2020-09-28,MV,08/03/2020
0.252057708580397,0.46070454156071056,-0.24605044010267746,True,2020-07-30,IQ,31/12/2019
-0.06855954598885786,-0.1959893051068374,-0.3410858136221893,True,2020-05-13,AE,31/12/2019
0.4702535243902286,0.0527583640854156,-0.3451110932198915,True,2020-10-08,IL,31/12/2019
-0.09761319194067135,-0.15618967803607692,-0.36724005295257905,True,2020-09-28,BH,31/12/2019
-0.10348261536528013,-0.1860393983391473,-0.3564935875894609,True,2020-10-03,PS,06/03/2020
0.07186640944490733,-0.1959893051068374,-0.363408600164742,True,2020-05-28,QA,31/12/2019
-0.11096613023165633,-0.1959893051068374,-0.3589848537496209,True,2020-10-02,KW,31/12/2019
-0.1250527464507174,-0.21588911864221766,-0.363408600164742,True,2020-07-26,QA,31/12/2019
0.48800853024967017,0.6000032363083723,-0.24605044010267746,True,2020-08-19,IQ,31/12/2019
-0.11654208248503467,-0.1959893051068374,-0.3504635263408859,True,2020-08-18,LB,31/12/2019
0.443107441051413,0.46070454156071056,-0.24605044010267746,True,2020-09-27,IQ,31/12/2019
-0.05139148247187716,-0.11639005096531645,-0.3589848537496209,True,2020-05-24,KW,31/12/2019
0.011264612585821619,-0.12633995773300657,-0.3565142745460627,True,2020-07-17,OM,31/12/2019
-0.07560285409838839,0.03285855055003536,-0.3451110932198915,True,2020-10-26,IL,31/12/2019
