cases,deaths,population,current_day,current_month,nr_months,ratio,cases_per_100k,avg_total,sum_total,sum_100k,avg_100k,high_risk_2w,current_year,current_risk,current_date,first_date,country,Season
-0.11258022167342374,0.02290864378234524,-0.3518786621662295,1.2547322989809326,0.16265301905204754,-0.454763415252992,0.20564503776084708,0.5329870385234251,-1.7763568394002505e-15,-0.22173725588102727,-0.2217372558810273,0.0,True,2020.0,False,2020-07-27,2020-03-19,KG,Summer
0.0567526441265397,-0.21588911864221766,-0.363408600164742,0.4619901229401393,-0.5081036656261233,-0.1295771348957828,-0.24206981724440438,6.775205416962378,-1.7763568394002505e-15,-0.1780119937431188,-0.17801199374311882,0.0,True,2020.0,False,2020-05-20,2019-12-31,QA,Spring
0.37267435995610754,-0.036790796823795484,-0.28047853550403995,0.4619901229401393,1.1687880460693039,1.4963542668902634,-0.19927701876797896,1.2431405669888596,-1.7763568394002505e-15,-0.11603118064290772,-0.11603118064290775,0.0,True,2020.0,False,2020-10-20,2019-12-31,NP,Autumn
-0.10128158158105183,-0.21588911864221766,-0.363408600164742,0.23549235835705548,-0.8434820079652088,-0.454763415252992,-0.24206981724440438,2.0534102876695934,-1.7763568394002505e-15,-0.1780119937431188,-0.17801199374311882,0.0,True,2020.0,False,2020-04-18,2019-12-31,QA,Spring
-0.0704671086018557,-0.17608949157145717,-0.3589848537496209,1.4812300635640163,0.16265301905204754,0.5207954258186357,-0.19526326422112808,1.87076237148276,-1.7763568394002505e-15,-0.1755030093662561,-0.17550300936625612,0.0,True,2020.0,False,2020-07-29,2019-12-31,KW,Summer
-0.07824409463946236,-0.11639005096531645,-0.3589848537496209,-0.8969964645583636,-0.1727253232870379,0.19560914546142644,-0.11640368813728184,1.7143428394329954,-1.7763568394002505e-15,-0.1755030093662561,-0.17550300936625612,0.0,True,2020.0,False,2020-06-08,2019-12-31,KW,Spring
-0.11243348608780852,-0.1860393983391473,-0.3518786621662295,1.7077278281471002,1.1687880460693039,0.5207954258186357,-0.1862210892052679,0.5349223073632811,-1.7763568394002505e-15,-0.22173725588102727,-0.2217372558810273,0.0,True,2020.0,False,2020-10-31,2020-03-19,KG,Autumn
-0.08895579238937339,-0.20593921187452752,-0.3410858136221893,-0.7837475822668216,0.8334097037302184,1.1711679865330542,-0.22807872802549028,0.41664818513966373,-1.7763568394002505e-15,-0.158685907361149,-0.15868590736114901,0.0,True,2020.0,False,2020-09-09,2019-12-31,AE,Summer
-0.16452461898121148,-0.21588911864221766,-0.3708118731746671,-0.7837475822668216,0.49803136139113297,-0.1295771348957828,-0.24206981724440438,2.6149091898508523,-1.7763568394002505e-15,-0.26145929996077577,-0.26145929996077577,0.0,True,2020.0,False,2020-08-09,2020-03-08,MV,Summer
0.02241651709257831,-0.21588911864221766,-0.3128354032646855,-1.1234942291414474,0.16265301905204754,-0.454763415252992,-0.24206981724440438,0.5372744743599442,-1.7763568394002505e-15,-0.15466343029109672,-0.15466343029109675,0.0,True,2020.0,False,2020-07-06,2020-03-15,KZ,Summer
-0.06533136310532303,-0.1959893051068374,-0.3589848537496209,-0.8969964645583636,0.8334097037302184,1.1711679865330542,-0.21968407449414182,1.9740582888741138,-1.7763568394002505e-15,-0.1755030093662561,-0.17550300936625612,0.0,True,2020.0,False,2020-09-08,2019-12-31,KW,Summer
-0.11390084194396072,-0.16613958480376703,-0.3128354032646855,0.3487412406485974,-0.1727253232870379,-0.7799496956102012,-0.14702486516654906,-0.08450150797604697,-1.7763568394002505e-15,-0.15466343029109672,-0.15466343029109675,0.0,True,2020.0,False,2020-06-19,2020-03-15,KZ,Spring
-0.05007086220134018,-0.1959893051068374,-0.3589848537496209,1.1414834166893908,-0.1727253232870379,0.19560914546142644,-0.22224525958328076,2.280994729122709,-1.7763568394002505e-15,-0.1755030093662561,-0.17550300936625612,0.0,True,2020.0,False,2020-06-26,2019-12-31,KW,Summer
1.5065002300049097,4.331218274192167,-0.10576487134547315,-0.33075205310065403,1.5041663884083893,1.8215405472474726,0.1154616133225986,1.3229286401118914,-1.7763568394002505e-15,0.359979206013595,0.35997920601359495,0.0,True,2020.0,False,2020-11-13,2019-12-31,IR,Autumn
-0.05388598742733589,-0.1959893051068374,-0.3410858136221893,-0.6704986999752798,0.8334097037302184,1.1711679865330542,-0.22166152402361008,0.720369680648575,-1.7763568394002505e-15,-0.158685907361149,-0.15868590736114901,0.0,True,2020.0,False,2020-09-10,2019-12-31,AE,Summer
-0.11639534689941945,-0.17608949157145717,-0.3564935875894609,0.6884878875232231,0.49803136139113297,-0.1295771348957828,-0.16320538436054718,0.7373432376351069,-1.7763568394002505e-15,-0.20581403766926515,-0.20581403766926515,0.0,True,2020.0,False,2020-08-22,2020-03-06,PS,Summer
-0.17098098474828116,-0.21588911864221766,-0.3708118731746671,0.008994593773971679,0.8334097037302184,0.19560914546142644,-0.24206981724440438,1.5859719181994822,-1.7763568394002505e-15,-0.26145929996077577,-0.26145929996077577,0.0,True,2020.0,False,2020-09-16,2020-03-08,MV,Summer
-0.11859638068364775,-0.1362898645006967,-0.3564935875894609,0.008994593773971679,1.1687880460693039,0.5207954258186357,-0.0789881619144372,0.6999551288135929,-1.7763568394002505e-15,-0.20581403766926515,-0.20581403766926515,0.0,True,2020.0,False,2020-10-16,2020-03-06,PS,Autumn
