cases,deaths,population,high_risk_2w,current_date,first_date,country
-0.252869780730648,-0.3649804135948094,-0.18453645573354205,False,2020-04-03,2020-01-03,BE
-0.2556175581931227,-0.4192335944361502,-0.7045262237382378,False,2021-06-23,2020-02-29,IS
-0.25556571333534017,-0.4192335944361502,1.4842584375475516,False,2020-07-01,2020-01-01,ES
-0.23959749713831732,-0.2655162487190179,1.0473971791804135,False,2020-06-05,2020-04-03,PL
-0.2541659021752115,-0.4192335944361502,-0.7045262237382378,True,2021-09-13,2020-02-29,IS
-0.2261178341148565,-0.4101913976292601,-0.6801132384916969,True,2021-05-01,2020-09-03,CY
-0.2445227586276588,-0.4101913976292601,-0.692317936971119,True,2021-04-14,2020-02-24,LU
11.641221957166708,1.334952586100536,3.154168169875,True,2022-02-16,2020-02-01,DE
-0.013450227490870692,0.34031093734262113,-0.4671521849830297,True,2021-01-28,2020-06-03,SK
-0.2420342054540968,-0.35593821678791926,-0.692317936971119,True,2020-12-23,2020-02-24,LU
-0.24835927810356687,-0.4192335944361502,-0.4901467247631595,False,2020-08-29,2020-02-29,IE
-0.1163104253314333,-0.2745584455259081,-0.2402178731718323,True,2021-03-22,2020-04-02,SE
-0.2527660910150829,-0.4101913976292601,-0.6595634876615263,False,2020-03-25,2020-02-26,EE
-0.22108888290994996,-0.2745584455259081,-0.6325954551703444,True,2020-12-25,2020-02-29,LV
0.596815593467427,0.1775513948185987,-0.22199794628190797,True,2022-12-02,2020-02-26,GR
-0.20989039362892098,-0.35593821678791926,-0.5323801719368125,True,2021-04-09,2020-02-26,HR
-0.25515095447307984,-0.4192335944361502,-0.5912875066156191,False,2020-03-18,2020-01-02,LT
-0.0149537283665644,-0.4192335944361502,-0.4901467247631595,True,2021-11-13,2020-02-29,IE
-0.2529734704462131,-0.2745584455259081,-0.3975483044836308,False,2021-03-07,2020-07-03,BG
-0.25338822930847343,-0.4101913976292601,-0.4640103827982618,False,2020-08-16,2020-01-01,FI
-0.20366901069501597,-0.40114920082236993,-0.6325954551703444,True,2021-11-10,2020-02-29,LV
-0.21704498400291172,-0.3921070040154798,-0.6595634876615263,True,2021-09-28,2020-02-26,EE
-0.24587072493000486,-0.4192335944361502,-0.6325954551703444,True,2020-10-21,2020-02-29,LV
-0.019153161846950272,0.6296612351631055,-0.2231455459289228,True,2020-02-12,2020-01-27,CZ
-0.2534919190240385,-0.4192335944361502,-0.6595634876615263,True,2021-07-17,2020-02-26,EE
-0.23814584112040615,-0.4192335944361502,-0.4501478954029417,True,2021-05-07,2020-02-26,DK
2.440833495076868,0.6296612351631055,2.4157034550036234,True,2020-10-25,2020-01-23,FR
0.050318947581655525,1.9950329530035158,3.154168169875,False,2020-03-26,2020-02-01,DE
-0.2435377063297905,-0.37402261040169954,1.0473971791804135,False,2021-08-25,2020-04-03,PL
